idx,timestamp,symbol,open,high,low,close,volume
549246,2022-12-01 00.05.00,BTC/USDT,17165.44,17183.39,17133.35,17171.37,1691
549247,2022-12-01 00.10.00,BTC/USDT,17170.43,17194.0,17168.0,17188.29,1317
549248,2022-12-01 00.15.00,BTC/USDT,17188.85,17227.65,17162.07,17168.76,1796
549249,2022-12-01 00.20.00,BTC/USDT,17170.04,17236.29,17159.61,17198.89,2551
549250,2022-12-01 00.25.00,BTC/USDT,17198.88,17215.88,17190.0,17202.17,939
549251,2022-12-01 00.30.00,BTC/USDT,17202.17,17210.53,17166.52,17179.37,934
549252,2022-12-01 00.35.00,BTC/USDT,17179.37,17181.77,17163.3,17166.7,795
549253,2022-12-01 00.40.00,BTC/USDT,17165.9,17174.67,17151.02,17155.8,776
549254,2022-12-01 00.45.00,BTC/USDT,17155.8,17179.38,17154.75,17162.62,708
549255,2022-12-01 00.50.00,BTC/USDT,17162.62,17168.11,17122.65,17135.36,1160
549256,2022-12-01 00.55.00,BTC/USDT,17136.11,17165.87,17135.35,17161.55,697
549257,2022-12-01 01.00.00,BTC/USDT,17161.55,17164.55,17141.73,17152.89,669
549258,2022-12-01 01.05.00,BTC/USDT,17154.05,17170.32,17142.14,17145.45,893
549259,2022-12-01 01.10.00,BTC/USDT,17146.34,17149.46,17134.07,17145.88,610
549260,2022-12-01 01.15.00,BTC/USDT,17145.44,17159.0,17135.64,17142.1,680
549261,2022-12-01 01.20.00,BTC/USDT,17142.1,17148.99,17131.44,17132.1,698
549262,2022-12-01 01.25.00,BTC/USDT,17132.74,17136.89,17105.37,17123.66,1467
549263,2022-12-01 01.30.00,BTC/USDT,17123.66,17134.2,17120.76,17131.53,766
549264,2022-12-01 01.35.00,BTC/USDT,17130.86,17142.03,17120.2,17132.12,719
549265,2022-12-01 01.40.00,BTC/USDT,17133.26,17137.49,17128.06,17132.3,370
549266,2022-12-01 01.45.00,BTC/USDT,17132.3,17138.97,17122.45,17132.6,612
549267,2022-12-01 01.50.00,BTC/USDT,17132.6,17137.0,17121.9,17124.62,572
